"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J4,J3";"PinHeader_1x02_P2.54mm_Vertical";2;"Conn_01x02_Socket";;;
2;"GND,VOUT,TP10,TP9,TP8,TP7,TP6,TP5,TP4,TP3,TP2,TP1";"TestPoint_Pad_D1.0mm";12;"TestPoint";;;
3;"C2";"C_1206_3216Metric";1;"C2";;;
4;"R4";"R_1206_3216Metric";1;"62";;;
5;"R2,R1";"R_1206_3216Metric";2;"<100";;;
6;"J5";"PinHeader_1x05_P2.54mm_Vertical";1;"Conn_01x05_Pin";;;
7;"R7";"R_1206_3216Metric";1;"10k";;;
8;"R6,R5";"R_1206_3216Metric";2;"4.7k";;;
9;"J2";"TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal";1;"Screw_Terminal_01x02";;;
10;"J6";"TerminalBlock_TE_282834-4_1x04_P2.54mm_Horizontal";1;"Screw_Terminal_01x04";;;
11;"J1";"CON_2053380004";1;"2053380004";;;
12;"INA232";"SOT_32AIDDFR_TEX";1;"INA232AIDDFR";;;
13;"R3";"R_1206_3216Metric";1;"40m";;;
14;"C1";"C_1206_3216Metric";1;"100nF";;;
15;"D1";"LED_0805_2012Metric";1;"LED";;;
